severity,entity_type,source_sheet,source_row,source_key,issue_code,issue_detail,suggested_action
WARN,Vendor,List,368;369,serba antik,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://www.serbaantik.com/', 'https://www.serbaantik.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZmJ2RSdckR822En_vYm_gUfWzbzdC0Iez5cOvdtm5Adl6l25jmZcCrv1s_aem_EQjDEZbUchEzgYr28VHOrw'], dipilih 'https://www.serbaantik.com/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,368;369,serba antik,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/serbaantikinterior', 'https://www.instagram.com/serbaantikinterior/?hl=en'], dipilih 'https://www.instagram.com/serbaantikinterior' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,VendorOffering,List,27,Artemi Zenith,MULTI_VALUE_PRODUCT,Category/Product mengandung beberapa baris (multi-line) dan mungkin merepresentasikan beberapa offering terpisah: category='Door & Window' product='Aluminium Window\n\nSliding Door',Konfirmasi apakah harus dipecah jadi beberapa VendorOffering. Tidak dipecah otomatis -- disimpan utuh apa adanya.
WARN,VendorOffering,List,28,Artisanwood,MULTI_VALUE_PRODUCT,Category/Product mengandung beberapa baris (multi-line) dan mungkin merepresentasikan beberapa offering terpisah: category='Wall Finishing\n\nDecking' product='WPC',Konfirmasi apakah harus dipecah jadi beberapa VendorOffering. Tidak dipecah otomatis -- disimpan utuh apa adanya.
WARN,VendorOffering,List,96,CSL Leather,MULTI_VALUE_PRODUCT,Category/Product mengandung beberapa baris (multi-line) dan mungkin merepresentasikan beberapa offering terpisah: category='Flooring' product='Waterproof Flooring\n\nEco Composite Flooring (PVC & PP FREE)',Konfirmasi apakah harus dipecah jadi beberapa VendorOffering. Tidak dipecah otomatis -- disimpan utuh apa adanya.
WARN,VendorOffering,List,102,Dekkson,MULTI_VALUE_PRODUCT,Category/Product mengandung beberapa baris (multi-line) dan mungkin merepresentasikan beberapa offering terpisah: category='Hardware' product='Handle & Knobs\n\nAccessories for Glass\n\nFurniture Fitting',Konfirmasi apakah harus dipecah jadi beberapa VendorOffering. Tidak dipecah otomatis -- disimpan utuh apa adanya.
WARN,VendorOffering,List,125,ENVIRO,MULTI_VALUE_PRODUCT,Category/Product mengandung beberapa baris (multi-line) dan mungkin merepresentasikan beberapa offering terpisah: category='Ceiling\n\nFacade\n\nPartition\n\nRoofing' product='Woven Crafts',Konfirmasi apakah harus dipecah jadi beberapa VendorOffering. Tidak dipecah otomatis -- disimpan utuh apa adanya.
INFO,Vendor,List,119,EDL,EXISTING_VENDOR_MATCH,"'EDL' sudah ada di database (dari MATERIAL_SUPPLIER_IMPORT_HANDOFF.md). Importer HARUS fill-blanks-only, tidak boleh timpa field terisi.",Jalankan scripts/inspect-existing-masterdata.mjs dulu untuk lihat field mana yang sudah terisi di DB sebelum menjalankan importer.
INFO,VendorOffering,List,10,Aiga,JESS_CURATED_NOTE,"Jess Check = UNREACHABLE_DARKRED, catatan: 'IG & Web tidak bisa dibuka'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,24,Armonia Paint,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Fabric nya pakai Amardeep'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,33,Ateja,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Last post 2023'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,60,Blackwood,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Sepertinya sudah tidak aktif lagi dari tahun 2020'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,112,Djalin,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Furniture Kerajaan - Emas2 gtu'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,117,Duma,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Last post 2023'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,213,Kayu Asri,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir update IG 2022'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,226,Lalapis,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir update IG 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,264,Miann Living,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'IG Aktif terakhir 2020'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,310,Paloma,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Sudah tidak aktif dari 2021'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,319,Phomi,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Last Update IG October 2022'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,359,Sakamurya Furniture,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terkahir Post IG Sep 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,361,Samudera Solid Surface,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terkahir Post IG Aug 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,367,Sentracon,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terkahir Post IG Sep 2022'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,368,Serba Antik,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terkahir Post IG April 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,376,Skywall,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terkahir Post IG Feb 2023'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,389,Sulla.Home,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir Post IG April 2022'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,430,Verona Marble,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir Posting IG Oct 2020'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,448,VR Space,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir posting IG Nov 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,450,Wallform,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir posting IG July 2021'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,453,Wellgress Tiles,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'IG sudah tidak aktif, aktif di Tokopedia'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,455,Winston Ok,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: 'Terakhir posting IG Nov 2024'. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
INFO,VendorOffering,List,457,Wood Concept,JESS_CURATED_NOTE,"Jess Check = INACTIVE_RED, catatan: ''. Diarsipkan di level offering (bukan vendor), sesuai keputusan #4.","Tidak ada tindakan -- offering ini masuk sebagai ARCHIVED, vendor tetap aktif."
